algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,num_seconds,staleness
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,10,95.08
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,30,98.35
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,50,99.40
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,100,99.89
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,500,99.98
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,3000,100.00
EIGER,32,0.9,128,5,8,8,1000000,zipfian,0.8,10,95.30
EIGER,32,0.9,128,5,8,8,1000000,zipfian,0.8,30,98.40
EIGER,32,0.9,128,5,8,8,1000000,zipfian,0.8,50,99.42
EIGER,32,0.9,128,5,8,8,1000000,zipfian,0.8,100,99.90
EIGER,32,0.9,128,5,8,8,1000000,zipfian,0.8,500,99.98
EIGER,32,0.9,128,5,8,8,1000000,zipfian,0.8,3000,100.00
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,10,95.45
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,30,98.62
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,50,99.53
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,100,99.91
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,500,99.99
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,3000,100.00
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,10,95.28
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,30,98.66
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,50,99.54
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,100,99.90
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,500,99.98
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,3000,100.00
