algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,num_seconds,staleness
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,10,83.44
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,30,94.69
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,50,97.23
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,100,98.73
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,500,99.77
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,3000,99.97
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian,0.8,10,84.12
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian,0.8,30,95.00
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian,0.8,50,97.39
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian,0.8,100,98.80
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian,0.8,500,99.77
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian,0.8,3000,99.97
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,10,83.80
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,30,94.98
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,50,97.39
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,100,98.82
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,500,99.78
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,3000,99.97
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,10,83.95
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,30,95.02
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,50,97.43
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,100,98.82
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,500,99.78
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,3000,99.97
